vendor_id,dropoff_datetime,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2017-01-01 21:16:33+00:00,Standard rate,1,0.04,Cash,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 21:13:15+00:00,Standard rate,1,0.69,Cash,5.0,0.5,0.0,0.0,0.3,6.3
2,2017-01-01 21:12:15+00:00,Standard rate,1,0.95,Cash,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 21:10:56+00:00,Standard rate,5,1.01,Cash,6.0,0.5,0.0,0.0,0.3,7.3
2,2017-01-01 21:10:56+00:00,Standard rate,5,6.03,Credit Card,20.5,0.5,2.18,0.0,0.3,23.98
2,2017-01-01 21:08:17+00:00,Standard rate,6,1.34,Credit Card,7.5,0.5,1.76,0.0,0.3,10.56
2,2017-01-01 20:55:10+00:00,Standard rate,6,2.17,Credit Card,9.0,0.5,1.03,0.0,0.3,11.33
2,2017-01-01 20:52:16+00:00,Standard rate,1,1.44,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 20:51:31+00:00,Standard rate,3,0.5,Cash,3.5,0.5,0.0,0.0,0.3,4.8
2,2017-01-01 20:50:13+00:00,Standard rate,2,0.99,Credit Card,6.0,0.5,1.82,0.0,0.3,9.12
2,2017-01-01 20:47:50+00:00,Standard rate,1,10.7,Credit Card,37.0,0.5,0.0,0.0,0.3,38.3
2,2017-01-01 20:40:21+00:00,Standard rate,6,1.62,Credit Card,7.5,0.5,2.64,0.0,0.3,11.44
2,2017-01-01 20:35:30+00:00,Standard rate,5,3.07,Credit Card,12.5,0.5,0.0,0.0,0.3,13.8
2,2017-01-01 20:33:43+00:00,Standard rate,1,1.27,Credit Card,5.5,0.5,1.7,0.0,0.3,8.5
2,2017-01-01 20:29:11+00:00,Standard rate,1,3.92,Credit Card,15.0,0.5,3.26,0.0,0.3,19.56
2,2017-01-01 20:25:05+00:00,Standard rate,1,0.91,Cash,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 20:24:34+00:00,Nassau or Westchester,1,35.92,Cash,140.5,0.5,0.0,0.0,0.3,145.7
2,2017-01-01 20:24:28+00:00,Standard rate,5,1.29,Cash,8.0,0.5,0.0,0.0,0.3,9.3
2,2017-01-01 20:22:41+00:00,Standard rate,1,1.17,Credit Card,7.0,0.5,1.24,0.0,0.3,9.54
2,2017-01-01 20:18:35+00:00,Standard rate,2,2.84,Credit Card,13.0,0.5,3.58,0.0,0.3,17.88
2,2017-01-01 20:17:40+00:00,Standard rate,1,1.86,Cash,10.0,0.5,0.0,0.0,0.3,11.3
2,2017-01-01 20:17:31+00:00,Standard rate,1,1.17,Credit Card,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 20:17:30+00:00,Standard rate,5,1.44,Credit Card,8.0,0.5,0.93,0.0,0.3,10.23
2,2017-01-01 20:15:42+00:00,Standard rate,1,0.68,Credit Card,6.0,0.5,1.46,0.0,0.3,8.76
2,2017-01-01 20:10:31+00:00,Standard rate,1,2.22,Cash,11.0,0.5,0.0,0.0,0.3,12.3
2,2017-01-01 20:08:12+00:00,Standard rate,1,0.49,Credit Card,4.0,0.5,1.06,0.0,0.3,6.36
2,2017-01-01 19:59:16+00:00,Standard rate,2,7.78,Cash,23.0,0.5,0.0,5.54,0.3,29.84
2,2017-01-01 19:57:31+00:00,Standard rate,2,17.94,Credit Card,56.0,0.5,14.32,0.0,0.3,73.57
2,2017-01-01 19:56:34+00:00,Standard rate,1,0.4,Cash,4.0,0.5,0.0,0.0,0.3,5.3
2,2017-01-01 19:56:32+00:00,Standard rate,1,1.89,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 19:48:21+00:00,Standard rate,2,0.99,Credit Card,6.5,0.0,1.1,0.0,0.3,8.4
2,2017-01-01 19:43:24+00:00,Standard rate,1,0.29,Cash,3.5,0.5,0.0,0.0,0.3,4.8
2,2017-01-01 19:42:44+00:00,Standard rate,1,1.32,Cash,8.0,0.0,0.0,0.0,0.3,8.8
2,2017-01-01 19:41:58+00:00,Standard rate,1,7.54,Cash,24.0,0.5,0.0,0.0,0.3,25.3
2,2017-01-01 19:38:14+00:00,Standard rate,1,9.68,Credit Card,29.5,0.5,5.45,5.54,0.3,41.79
2,2017-01-01 19:36:02+00:00,Standard rate,2,4.96,Credit Card,20.0,0.0,4.16,0.0,0.3,24.96
2,2017-01-01 19:35:28+00:00,Standard rate,1,0.68,Credit Card,5.5,0.5,1.36,0.0,0.3,8.16
2,2017-01-01 19:31:41+00:00,Standard rate,1,5.85,Cash,22.0,0.5,0.0,0.0,0.3,23.3
2,2017-01-01 19:25:52+00:00,Standard rate,1,1.73,Credit Card,7.5,0.0,1.66,0.0,0.3,9.96
2,2017-01-01 19:25:37+00:00,Standard rate,1,9.45,Credit Card,28.0,0.5,0.0,5.54,0.3,34.84
2,2017-01-01 19:20:53+00:00,Standard rate,1,1.56,Credit Card,7.0,0.0,1.17,0.0,0.3,8.97
2,2017-01-01 19:16:22+00:00,Standard rate,1,0.92,Credit Card,5.5,0.0,0.0,0.0,0.3,6.3
2,2017-01-01 18:57:25+00:00,Standard rate,1,0.84,Credit Card,4.5,0.0,0.8,0.0,0.3,6.1
2,2017-01-01 18:57:21+00:00,Standard rate,1,0.61,Credit Card,4.5,0.0,0.0,0.0,0.3,5.3
2,2017-01-01 18:56:28+00:00,Standard rate,5,0.76,Credit Card,7.5,0.0,1.66,0.0,0.3,9.96
2,2017-01-01 18:53:31+00:00,Standard rate,1,11.0,Credit Card,34.0,0.0,3.48,0.0,0.3,38.28
